mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,spectral_centroids,spectral_bandwidth,spectral_contrast,spectral_rolloff,meanfreq,maxfreq,tone_results,oc_results,label
-323.3 ,103.5 ,-16.5 ,10.3 ,-20.4 ,-23.0 ,-0.4 ,-23.6 ,-12.0 ,-2.1 ,-12.6 ,-2.7 ,-15.5 ,-15.5 ,-5.0 ,-12.9 ,-4.1 ,-2.0 ,-6.6 ,7.0 ,2228.4 ,1899.0 ,27.4 ,3976.7 ,2198.7 ,11816.4 ,1,175,FIFTY FIFTY-Cupid
-283.9 ,129.3 ,-67.1 ,31.2 ,-5.0 ,-23.1 ,14.2 ,-29.6 ,-8.7 ,6.1 ,-15.2 ,4.6 ,-13.4 ,-13.9 ,6.4 ,-14.6 ,-4.7 ,-2.3 ,-15.6 ,1.9 ,2793.1 ,2115.2 ,25.3 ,5258.3 ,2786.6 ,12332.9 ,1,196,IVE-Kitsch
-345.7 ,72.4 ,-35.0 ,10.6 ,-12.6 ,-16.4 ,13.0 ,-19.2 ,-13.4 ,5.3 ,-11.9 ,-4.8 ,-5.1 ,-13.0 ,-4.5 ,-7.5 ,-1.5 ,8.0 ,2.9 ,5.3 ,2663.3 ,2245.9 ,26.2 ,4910.1 ,2649.6 ,13278.4 ,0,147,M.C The Max-어디에도
-270.5 ,145.9 ,-19.4 ,-7.3 ,-1.9 ,-10.1 ,-3.6 ,-16.0 ,-15.9 ,-9.2 ,-13.7 ,-7.3 ,-8.8 ,-7.6 ,-6.4 ,-10.7 ,-4.2 ,0.0 ,-5.1 ,0.2 ,1708.6 ,1556.2 ,24.7 ,3183.0 ,1689.9 ,12030.7 ,0,175,MSG워너비(M.O.M)-듣고 싶을까
-406.2 ,74.0 ,-42.9 ,12.9 ,-8.3 ,-15.0 ,6.9 ,-16.5 ,-0.4 ,-0.9 ,-16.5 ,5.9 ,-5.7 ,-9.5 ,5.9 ,-10.6 ,-2.1 ,7.3 ,-6.8 ,2.3 ,2959.8 ,2133.3 ,26.3 ,5009.0 ,2930.3 ,14441.8 ,0,110,YB-잊을께
-325.0 ,98.0 ,-67.7 ,5.6 ,2.0 ,-24.8 ,-2.5 ,-16.2 ,-6.2 ,-2.1 ,-17.1 ,0.5 ,-5.7 ,-14.9 ,-1.3 ,-10.5 ,-10.6 ,-1.3 ,-6.7 ,-4.5 ,2490.4 ,1827.1 ,26.8 ,4268.4 ,2469.2 ,11088.1 ,0,95,김연우-나와같다면
-346.5 ,73.1 ,-32.4 ,0.1 ,-32.4 ,1.1 ,-14.6 ,-4.6 ,-4.2 ,-6.0 ,-10.6 ,-4.7 ,-2.3 ,-11.8 ,-3.1 ,-5.2 ,-5.6 ,-1.9 ,3.7 ,-2.7 ,3915.2 ,3716.7 ,23.5 ,7460.8 ,3915.2 ,12369.9 ,0,147,노라조-형
-349.6 ,96.5 ,-80.0 ,20.8 ,-7.2 ,-29.0 ,9.4 ,-23.4 ,-10.4 ,1.0 ,-12.4 ,5.5 ,-13.1 ,-15.4 ,3.2 ,-8.9 ,0.7 ,-4.0 ,-12.9 ,8.0 ,2965.3 ,2029.3 ,27.8 ,5146.8 ,2959.9 ,10684.9 ,1,147,뉴진스-ditto
-252.8 ,129.5 ,-84.8 ,10.9 ,-22.9 ,-41.6 ,9.7 ,-24.7 ,-18.4 ,-6.7 ,-14.1 ,3.7 ,-22.5 ,-16.8 ,8.0 ,-16.2 ,-2.7 ,1.3 ,-15.2 ,7.7 ,2563.3 ,1932.8 ,28.6 ,4703.6 ,2562.9 ,13340.2 ,1,175,뉴진스-Hypeboy
-341.0 ,87.6 ,-22.8 ,4.7 ,-5.4 ,-8.5 ,2.1 ,-13.6 ,-0.6 ,-4.2 ,-16.5 ,3.3 ,-6.7 ,-13.8 ,0.0 ,-8.1 ,-4.0 ,2.6 ,-5.7 ,1.8 ,2207.7 ,2170.5 ,25.2 ,4214.6 ,2206.6 ,12545.4 ,0,175,더크로스-Don't Cry
-294.6 ,113.8 ,-68.7 ,6.0 ,-9.4 ,-24.5 ,-1.4 ,-28.1 ,-7.8 ,-7.1 ,-18.5 ,15.6 ,-6.4 ,-21.1 ,1.9 ,-13.1 ,-8.4 ,0.1 ,-10.6 ,4.9 ,2484.5 ,2139.2 ,26.8 ,4650.0 ,2477.2 ,12105.4 ,0,124,데이식스-예뻤어
-284.6 ,119.7 ,-56.5 ,29.0 ,-11.8 ,-30.0 ,14.4 ,-22.4 ,-16.1 ,-2.7 ,-11.2 ,5.7 ,-15.1 ,-12.6 ,5.9 ,-14.4 ,-2.8 ,1.4 ,-12.4 ,4.5 ,2744.7 ,2078.0 ,26.1 ,5045.6 ,2737.5 ,12379.1 ,1,165,르세라핌-UNFORGIVEN
-330.6 ,87.1 ,-55.9 ,19.0 ,-5.6 ,-23.1 ,4.5 ,-17.1 ,-0.5 ,-1.1 ,-16.4 ,9.3 ,-6.5 ,-16.1 ,1.8 ,-6.9 ,4.5 ,11.0 ,-0.5 ,8.8 ,2707.8 ,2226.0 ,26.8 ,4988.7 ,2699.5 ,10647.1 ,0,155,마크툽-오늘도 빛나는 너에게
