mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,spectral_centroids,spectral_bandwidth,spectral_contrast,spectral_rolloff,meanfreq,maxfreq,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,label
-321.3224792,91.53729248,-37.71120071,1.36744535,-7.566615105,-16.78236198,-3.039127827,-15.05527496,-4.536519051,-10.44525433,-17.42650223,6.163826466,-8.680383682,-13.90980625,1.264638424,-12.73087788,-8.074995041,0.460758656,-11.96035862,-4.494158268,2781.397401,2339.584464,25.42669431,4983.28899,2752.579235,12798.42422,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,10cm-스토커
-330.4835205,89.53423309,-47.93357849,3.959729671,-11.8287468,-22.26903725,1.056642413,-18.21320343,-8.599985123,-7.103646755,-11.96256924,10.2398138,-4.955267906,-7.882330894,8.968079567,-7.120059013,-4.186563969,-0.466082454,-11.40614223,0.257436842,2802.86843,2007.022143,25.39211623,4787.8016,2780.661057,13768.97091,1,330,1,330,1,330,1,330,1,330,1,330,1,330,1,330,1,330,1,330,1,330,1,330,1,330,AKMU-DINOSAUR
-323.3017883,103.523056,-16.46667862,10.30169964,-20.44233894,-22.96261024,-0.372944236,-23.59642029,-11.97539902,-2.149315834,-12.55089283,-2.650536299,-15.47966671,-15.4790411,-4.996798992,-12.85904789,-4.06009531,-1.994532585,-6.610079288,7.031403542,2228.374139,1899.029496,27.4285193,3976.701134,2198.704022,11816.40753,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,FIFTY FIFTY-Cupid
-283.8661499,129.2608795,-67.11595154,31.15773201,-4.990323067,-23.11075211,14.22798252,-29.59997749,-8.719669342,6.087947369,-15.20276833,4.565367699,-13.39852142,-13.90246296,6.37762022,-14.59478092,-4.691967964,-2.312604427,-15.64497948,1.883486629,2793.104006,2115.161179,25.26030066,5258.302383,2786.621558,12332.9133,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,IVE-Kitsch
-345.7459106,72.39823151,-35.04627228,10.55989933,-12.60384274,-16.41238976,12.95651436,-19.19449997,-13.44515133,5.284959793,-11.90556717,-4.837605476,-5.079036236,-13.03348351,-4.530382633,-7.463706017,-1.45515871,8.022666931,2.885637283,5.291267872,2663.300714,2245.851334,26.21455225,4910.064649,2649.617462,13278.41413,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,M.C The Max-어디에도
-270.4614258,145.9016113,-19.39632797,-7.339526653,-1.93744719,-10.05180645,-3.639312267,-16.03806686,-15.93068123,-9.244235039,-13.66688347,-7.34319973,-8.820609093,-7.636991978,-6.39869976,-10.70225048,-4.239996433,-0.032398857,-5.084605217,0.170025408,1708.586006,1556.16796,24.72915366,3183.035753,1689.908441,12030.66894,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,MSG워너비(M.O.M)-듣고 싶을까
-406.2010193,74.0447998,-42.92019272,12.85863209,-8.267305374,-14.99813366,6.948336601,-16.52155304,-0.390925556,-0.907900214,-16.51104164,5.939941406,-5.73486042,-9.46716404,5.896983147,-10.649333,-2.136940002,7.298763752,-6.773857594,2.338320255,2959.752266,2133.280636,26.27688974,5008.959627,2930.347902,14441.75899,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,YB-잊을께
-325.0346985,98.03660583,-67.72046661,5.642894268,2.009972095,-24.77376175,-2.455756664,-16.1988945,-6.203757763,-2.056352615,-17.06688118,0.486874402,-5.700382233,-14.93163204,-1.303728819,-10.45767784,-10.59580421,-1.252925634,-6.662706375,-4.538887501,2490.433369,1827.119678,26.83669075,4268.439359,2469.218567,11088.05754,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,김연우-나와같다면
-346.4825745,73.10676575,-32.3774147,0.10785716,-32.38949966,1.098845482,-14.64098072,-4.614423275,-4.177596092,-6.032466412,-10.58340073,-4.729570389,-2.25783515,-11.83974838,-3.093222857,-5.198363781,-5.64950943,-1.915041089,3.684854746,-2.695081472,3915.17658,3716.742387,23.53471838,7460.804257,3915.17658,12369.90001,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,노라조-형
-349.6167603,96.48680115,-80.04033661,20.75728798,-7.190408707,-29.03030777,9.390303612,-23.42749405,-10.42465973,0.97006011,-12.42228508,5.548327923,-13.06977463,-15.39002991,3.248288155,-8.935495377,0.712888658,-3.979228973,-12.93021584,8.022284508,2965.283587,2029.293324,27.76019471,5146.76779,2959.893852,10684.88142,1,147,1,147,1,147,1,147,1,147,1,147,1,147,1,147,1,147,1,147,1,147,1,147,1,147,뉴진스-ditto
